"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"128","1 wk","adult","D",8,"LI","inc infection",0
"129","1 wk","adult","D",9,"LI","inc infection",0
"130","1 wk","adult","D",10,"LI","inc infection",0
"131","1 wk","adult","D",11,"LI","inc infection",0
"132","1 wk","adult","D",12,"LI","inc infection",0
"133","1 wk","adult","D",13,"LI","inc infection",0
"134","1 wk","adult","D",14,"LI","inc infection",0
"135","1 wk","adult","D",15,"LI","inc infection",0
"136","1 wk","adult","D",16,"LI","inc infection",0
"137","1 wk","adult","D",17,"LI","inc infection",0
"138","1 wk","adult","D",18,"LI","inc infection",0
"139","1 wk","adult","D",19,"LI","inc infection",0
"140","1 wk","adult","D",20,"LI","inc infection",0
"141","1 wk","adult","D",21,"LI","inc infection",0
"142","1 wk","adult","D",22,"LI","inc infection",0
"143","1 wk","adult","D",23,"LI","inc infection",0
"144","1 wk","adult","D",24,"LI","inc infection",0
"145","1 wk","adult","D",25,"LI","inc infection",0
"146","1 wk","adult","D",26,"LI","inc infection",0
"147","1 wk","adult","D",27,"LI","inc infection",0
"148","1 wk","adult","D",28,"LI","inc infection",0
"149","1 wk","adult","D",29,"LI","inc infection",0
"150","1 wk","adult","D",30,"LI","inc infection",0
"151","1 wk","adult","D",31,"LI","inc infection",0
"152","1 wk","adult","D",32,"LI","inc infection",0
"153","1 wk","adult","D",33,"LI","inc infection",0
"154","1 wk","adult","D",34,"LI","inc infection",0
"155","1 wk","adult","D",35,"LI","inc infection",0
"156","1 wk","adult","D",36,"LI","inc infection",0
"157","1 wk","adult","D",37,"LI","inc infection",0
"158","1 wk","adult","D",38,"LI","inc infection",0
"159","1 wk","adult","D",39,"LI","inc infection",0
"160","1 wk","adult","D",40,"LI","inc infection",0
"161","1 wk","adult","D",41,"LI","inc infection",0
"162","1 wk","adult","D",42,"LI","inc infection",0
"163","1 wk","adult","D",43,"LI","inc infection",0
"164","1 wk","adult","D",44,"LI","inc infection",0
"165","1 wk","adult","D",45,"LI","inc infection",0
"166","1 wk","adult","D",46,"LI","inc infection",0
"167","1 wk","adult","D",47,"LI","inc infection",0
"168","1 wk","adult","D",48,"LI","inc infection",0
"169","1 wk","adult","D",49,"LI","inc infection",0
"170","1 wk","adult","D",50,"LI","inc infection",0
"171","1 wk","adult","D",51,"LI","inc infection",0
"172","1 wk","adult","D",52,"LI","inc infection",0
"173","1 wk","adult","D",53,"LI","inc infection",0
"174","1 wk","adult","D",54,"LI","inc infection",0
"175","1 wk","adult","D",55,"LI","inc infection",0
"176","1 wk","adult","D",56,"LI","inc infection",0
"177","1 wk","adult","D",57,"LI","inc infection",0
"178","1 wk","adult","D",58,"LI","inc infection",0
"179","1 wk","adult","D",59,"LI","inc infection",0
"180","1 wk","adult","D",60,"LI","inc infection",0
"181","1 wk","adult","D",61,"LI","inc infection",0
"182","1 wk","adult","D",62,"LI","inc infection",0
"183","1 wk","adult","D",63,"LI","inc infection",0
"184","1 wk","adult","D",64,"LI","inc infection",0
"185","1 wk","adult","D",65,"LI","inc infection",0
"186","1 wk","adult","D",66,"LI","inc infection",0
"187","1 wk","adult","D",67,"LI","inc infection",0
"188","1 wk","adult","D",68,"LI","inc infection",0
"189","1 wk","adult","D",69,"LI","inc infection",0
"190","1 wk","adult","D",70,"LI","inc infection",0
"191","1 wk","adult","D",71,"LI","inc infection",0
"192","1 wk","adult","D",72,"LI","inc infection",0
"193","1 wk","adult","D",73,"LI","inc infection",0
"194","1 wk","adult","D",74,"LI","inc infection",0
"195","1 wk","adult","D",75,"LI","inc infection",0
"196","1 wk","adult","D",76,"LI","inc infection",0
"197","1 wk","adult","D",77,"LI","inc infection",0
"198","1 wk","adult","D",78,"LI","inc infection",0
"199","1 wk","adult","D",79,"LI","inc infection",0
"200","1 wk","adult","D",80,"LI","inc infection",0
"201","1 wk","adult","D",81,"LI","inc infection",0
"202","1 wk","adult","D",82,"LI","inc infection",0
"203","1 wk","adult","D",83,"LI","inc infection",0
"204","1 wk","adult","D",84,"LI","inc infection",0
"205","1 wk","adult","D",85,"LI","inc infection",0
"206","1 wk","adult","D",86,"LI","inc infection",0
"207","1 wk","adult","D",87,"LI","inc infection",0
"208","1 wk","adult","D",88,"LI","inc infection",0
"209","1 wk","adult","D",89,"LI","inc infection",0
"210","1 wk","adult","D",90,"LI","inc infection",0
"211","1 wk","child","A",1,"LI","inc infection",0
"212","1 wk","child","A",2,"LI","inc infection",0
"213","1 wk","child","A",3,"LI","inc infection",0
"214","1 wk","child","A",4,"LI","inc infection",0
"215","1 wk","child","A",5,"LI","inc infection",0
