sample,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
10,1026,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,1463,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,2121,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,3117,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,4629,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,6916,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,10356,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,15464,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,22905,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,33445,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,47805,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,66343,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,88578,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,112677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,135287,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,152135,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,159509,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,155872,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,142545,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,122938,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,100998,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,79894,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,61490,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,46474,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,34763,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,25898,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,19310,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,3337,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,2869,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,2495,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,2177,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1907,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1680,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1496,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1351,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1245,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1176,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1145,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1155,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1215,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1340,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1556,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,1911,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,2492,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,3437,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,4902,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,7221,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,10955,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
