sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
100,24,2177,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,25,1907,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,26,1680,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,27,1496,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,28,1351,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,29,1245,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,30,1176,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,31,1145,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,32,1155,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,33,1215,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,34,1340,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,35,1556,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,36,1911,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,37,2492,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,38,3437,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,39,4902,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,40,7221,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,41,10955,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,42,17075,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,43,27227,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,44,44041,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,45,71554,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,46,114767,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,47,177391,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,48,255955,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
