"scenario_id","horizon","location","sample","target_variable","value"
"A","8 wk","DE",2,"inc dose",0
"A","9 wk","DE",2,"inc infection",363555
"A","9 wk","DE",2,"inc dose",0
"A","10 wk","DE",2,"inc infection",596098
"A","10 wk","DE",2,"inc dose",0
"A","11 wk","DE",2,"inc infection",875588
"A","11 wk","DE",2,"inc dose",0
"A","12 wk","DE",2,"inc infection",1352321
"A","12 wk","DE",2,"inc dose",0
"A","13 wk","DE",2,"inc infection",2702823
"A","13 wk","DE",2,"inc dose",0
"A","14 wk","DE",2,"inc infection",4896159
"A","14 wk","DE",2,"inc dose",0
"A","15 wk","DE",2,"inc infection",6685910
"A","15 wk","DE",2,"inc dose",0
"A","16 wk","DE",2,"inc infection",7051649
"A","16 wk","DE",2,"inc dose",0
"A","17 wk","DE",2,"inc infection",6092723
"A","17 wk","DE",2,"inc dose",0
"A","18 wk","DE",2,"inc infection",4868502
"A","18 wk","DE",2,"inc dose",0
"A","19 wk","DE",2,"inc infection",3573316
"A","19 wk","DE",2,"inc dose",0
"A","20 wk","DE",2,"inc infection",2737759
"A","20 wk","DE",2,"inc dose",0
"A","21 wk","DE",2,"inc infection",2084889
"A","21 wk","DE",2,"inc dose",0
"A","22 wk","DE",2,"inc infection",1568489
"A","22 wk","DE",2,"inc dose",0
"A","23 wk","DE",2,"inc infection",1159444
"A","23 wk","DE",2,"inc dose",0
"A","24 wk","DE",2,"inc infection",901426
"A","24 wk","DE",2,"inc dose",0
"A","25 wk","DE",2,"inc infection",775146
"A","25 wk","DE",2,"inc dose",0
"A","26 wk","DE",2,"inc infection",724198
"A","26 wk","DE",2,"inc dose",0
"A","27 wk","DE",2,"inc infection",669974
"A","27 wk","DE",2,"inc dose",0
"A","28 wk","DE",2,"inc infection",719103
"A","28 wk","DE",2,"inc dose",0
"A","29 wk","DE",2,"inc infection",808627
"A","29 wk","DE",2,"inc dose",0
"A","30 wk","DE",2,"inc infection",951647
"A","30 wk","DE",2,"inc dose",0
"A","31 wk","DE",2,"inc infection",1224586
"A","31 wk","DE",2,"inc dose",0
"A","32 wk","DE",2,"inc infection",1632174
"A","32 wk","DE",2,"inc dose",0
"A","33 wk","DE",2,"inc infection",2247561
"A","33 wk","DE",2,"inc dose",0
"A","34 wk","DE",2,"inc infection",3023071
"A","34 wk","DE",2,"inc dose",0
"A","35 wk","DE",2,"inc infection",3702871
"A","35 wk","DE",2,"inc dose",0
"A","36 wk","DE",2,"inc infection",3672665
"A","36 wk","DE",2,"inc dose",0
"A","37 wk","DE",2,"inc infection",3435754
"A","37 wk","DE",2,"inc dose",0
"A","38 wk","DE",2,"inc infection",3340772
"A","38 wk","DE",2,"inc dose",0
"A","39 wk","DE",2,"inc infection",3128243
"A","39 wk","DE",2,"inc dose",0
"A","40 wk","DE",2,"inc infection",2775606
"A","40 wk","DE",2,"inc dose",0
"A","41 wk","DE",2,"inc infection",2395312
"A","41 wk","DE",2,"inc dose",0
"A","42 wk","DE",2,"inc infection",1947328
"A","42 wk","DE",2,"inc dose",0
"A","43 wk","DE",2,"inc infection",1599058
"A","43 wk","DE",2,"inc dose",0
"A","44 wk","DE",2,"inc infection",1250424
"A","44 wk","DE",2,"inc dose",0
"A","1 wk","DE",3,"inc dose",0
"A","1 wk","DE",3,"inc infection",22563
"A","2 wk","DE",3,"inc dose",0
"A","2 wk","DE",3,"inc infection",28022
"A","3 wk","DE",3,"inc dose",0
"A","3 wk","DE",3,"inc infection",31661
"A","4 wk","DE",3,"inc dose",712
"A","4 wk","DE",3,"inc infection",30933
"A","5 wk","DE",3,"inc dose",0
"A","5 wk","DE",3,"inc infection",40395
"A","6 wk","DE",3,"inc dose",0
"A","6 wk","DE",3,"inc infection",69872
"A","7 wk","DE",3,"inc dose",0
"A","7 wk","DE",3,"inc infection",90252
"A","8 wk","DE",3,"inc dose",0
"A","8 wk","DE",3,"inc infection",136833
"A","9 wk","DE",3,"inc dose",0
"A","9 wk","DE",3,"inc infection",219079
"A","10 wk","DE",3,"inc dose",0
"A","10 wk","DE",3,"inc infection",351181
"A","11 wk","DE",3,"inc dose",0
"A","11 wk","DE",3,"inc infection",498204
"A","12 wk","DE",3,"inc dose",0
"A","12 wk","DE",3,"inc infection",813358
"A","13 wk","DE",3,"inc dose",0
"A","13 wk","DE",3,"inc infection",1768644
"A","14 wk","DE",3,"inc dose",0
"A","14 wk","DE",3,"inc infection",3647191
"A","15 wk","DE",3,"inc dose",0
"A","15 wk","DE",3,"inc infection",5978817
"A","16 wk","DE",3,"inc dose",0
"A","16 wk","DE",3,"inc infection",7409017
"A","17 wk","DE",3,"inc dose",0
"A","17 wk","DE",3,"inc infection",6899167
"A","18 wk","DE",3,"inc dose",0
"A","18 wk","DE",3,"inc infection",5543934
"A","19 wk","DE",3,"inc dose",0
"A","19 wk","DE",3,"inc infection",4281137
"A","20 wk","DE",3,"inc dose",0
"A","20 wk","DE",3,"inc infection",3141708
"A","21 wk","DE",3,"inc dose",0
"A","21 wk","DE",3,"inc infection",2325803
"A","22 wk","DE",3,"inc dose",0
"A","22 wk","DE",3,"inc infection",1751176
"A","23 wk","DE",3,"inc dose",0
"A","23 wk","DE",3,"inc infection",1282449
"A","24 wk","DE",3,"inc dose",0
"A","24 wk","DE",3,"inc infection",990586
"A","25 wk","DE",3,"inc dose",0
"A","25 wk","DE",3,"inc infection",864670
"A","26 wk","DE",3,"inc dose",0
"A","26 wk","DE",3,"inc infection",777330
"A","27 wk","DE",3,"inc dose",0
"A","27 wk","DE",3,"inc infection",763501
"A","28 wk","DE",3,"inc dose",0
"A","28 wk","DE",3,"inc infection",807171
"A","29 wk","DE",3,"inc dose",0
"A","29 wk","DE",3,"inc infection",892692
"A","30 wk","DE",3,"inc dose",0
"A","30 wk","DE",3,"inc infection",1052088
"A","31 wk","DE",3,"inc dose",0
"A","31 wk","DE",3,"inc infection",1295186
"A","32 wk","DE",3,"inc dose",0
"A","32 wk","DE",3,"inc infection",1673661
"A","33 wk","DE",3,"inc dose",0
"A","33 wk","DE",3,"inc infection",2154034
"A","34 wk","DE",3,"inc dose",0
"A","34 wk","DE",3,"inc infection",2857124
"A","35 wk","DE",3,"inc dose",0
"A","35 wk","DE",3,"inc infection",3375708
"A","36 wk","DE",3,"inc dose",0
"A","36 wk","DE",3,"inc infection",3261801
"A","37 wk","DE",3,"inc dose",0
"A","37 wk","DE",3,"inc infection",3114414
"A","38 wk","DE",3,"inc dose",0
"A","38 wk","DE",3,"inc infection",3130063
"A","39 wk","DE",3,"inc dose",0
"A","39 wk","DE",3,"inc infection",2914987
"A","40 wk","DE",3,"inc dose",0
"A","40 wk","DE",3,"inc infection",2660244
"A","41 wk","DE",3,"inc dose",0
"A","41 wk","DE",3,"inc infection",2407321
"A","42 wk","DE",3,"inc dose",0
"A","42 wk","DE",3,"inc infection",1999004
"A","43 wk","DE",3,"inc dose",0
"A","43 wk","DE",3,"inc infection",1741350
"A","44 wk","DE",3,"inc dose",0
"A","44 wk","DE",3,"inc infection",1387257
"A","1 wk","DE",4,"inc infection",26202
"A","1 wk","DE",4,"inc dose",0
"A","2 wk","DE",4,"inc infection",30933
"A","2 wk","DE",4,"inc dose",0
"A","3 wk","DE",4,"inc infection",33844
"A","3 wk","DE",4,"inc dose",0
"A","4 wk","DE",4,"inc infection",42942
"A","4 wk","DE",4,"inc dose",712
"A","5 wk","DE",4,"inc infection",49493
"A","5 wk","DE",4,"inc dose",0
"A","6 wk","DE",4,"inc infection",61866
"A","6 wk","DE",4,"inc dose",0
"A","7 wk","DE",4,"inc infection",88432
"A","7 wk","DE",4,"inc dose",0
"A","8 wk","DE",4,"inc infection",126280
"A","8 wk","DE",4,"inc dose",0
"A","9 wk","DE",4,"inc infection",168858
"A","9 wk","DE",4,"inc dose",0
"A","10 wk","DE",4,"inc infection",308967
"A","10 wk","DE",4,"inc dose",0
"A","11 wk","DE",4,"inc infection",436702
"A","11 wk","DE",4,"inc dose",0
"A","12 wk","DE",4,"inc infection",749672
"A","12 wk","DE",4,"inc dose",0
"A","13 wk","DE",4,"inc infection",1559755
"A","13 wk","DE",4,"inc dose",0
"A","14 wk","DE",4,"inc infection",3308747
"A","14 wk","DE",4,"inc dose",0
"A","15 wk","DE",4,"inc infection",5655657
"A","15 wk","DE",4,"inc dose",0
"A","16 wk","DE",4,"inc infection",7328954
"A","16 wk","DE",4,"inc dose",0
"A","17 wk","DE",4,"inc infection",7363163
"A","17 wk","DE",4,"inc dose",0
"A","18 wk","DE",4,"inc infection",5906761
"A","18 wk","DE",4,"inc dose",0
"A","19 wk","DE",4,"inc infection",4312798
"A","19 wk","DE",4,"inc dose",0
"A","20 wk","DE",4,"inc infection",3191929
"A","20 wk","DE",4,"inc dose",0
"A","21 wk","DE",4,"inc infection",2345455
"A","21 wk","DE",4,"inc dose",0
"A","22 wk","DE",4,"inc infection",1716967
"A","22 wk","DE",4,"inc dose",0
"A","23 wk","DE",4,"inc infection",1206026
"A","23 wk","DE",4,"inc dose",0
"A","24 wk","DE",4,"inc infection",938182
"A","24 wk","DE",4,"inc dose",0
"A","25 wk","DE",4,"inc infection",783880
"A","25 wk","DE",4,"inc dose",0
"A","26 wk","DE",4,"inc infection",720559
"A","26 wk","DE",4,"inc dose",0
"A","27 wk","DE",4,"inc infection",742758
"A","27 wk","DE",4,"inc dose",0
"A","28 wk","DE",4,"inc infection",782061
"A","28 wk","DE",4,"inc dose",0
"A","29 wk","DE",4,"inc infection",862123
"A","29 wk","DE",4,"inc dose",0
"A","30 wk","DE",4,"inc infection",1020427
"A","30 wk","DE",4,"inc dose",0
"A","31 wk","DE",4,"inc infection",1334853
"A","31 wk","DE",4,"inc dose",0
"A","32 wk","DE",4,"inc infection",1702775
"A","32 wk","DE",4,"inc dose",0
"A","33 wk","DE",4,"inc infection",2317069
"A","33 wk","DE",4,"inc dose",0
"A","34 wk","DE",4,"inc infection",2996869
"A","34 wk","DE",4,"inc dose",0
"A","35 wk","DE",4,"inc infection",3590420
"A","35 wk","DE",4,"inc dose",0
"A","36 wk","DE",4,"inc infection",3523823
"A","36 wk","DE",4,"inc dose",0
"A","37 wk","DE",4,"inc infection",3312750
"A","37 wk","DE",4,"inc dose",0
"A","38 wk","DE",4,"inc infection",3311658
"A","38 wk","DE",4,"inc dose",0
"A","39 wk","DE",4,"inc infection",3004511
"A","39 wk","DE",4,"inc dose",0
"A","40 wk","DE",4,"inc infection",2636953
"A","40 wk","DE",4,"inc dose",0
"A","41 wk","DE",4,"inc infection",2255931
"A","41 wk","DE",4,"inc dose",0
"A","42 wk","DE",4,"inc infection",1858896
"A","42 wk","DE",4,"inc dose",0
"A","43 wk","DE",4,"inc infection",1509170
"A","43 wk","DE",4,"inc dose",0
"A","44 wk","DE",4,"inc infection",1183099
"A","44 wk","DE",4,"inc dose",0
"A","1 wk","DE",5,"inc infection",31297
"A","1 wk","DE",5,"inc dose",0
"A","2 wk","DE",5,"inc infection",38575
"A","2 wk","DE",5,"inc dose",0
"A","3 wk","DE",5,"inc infection",47309
"A","3 wk","DE",5,"inc dose",0
"A","4 wk","DE",5,"inc infection",60774
"A","4 wk","DE",5,"inc dose",712
"A","5 wk","DE",5,"inc infection",63322
"A","5 wk","DE",5,"inc dose",0
"A","6 wk","DE",5,"inc infection",94255
"A","6 wk","DE",5,"inc dose",0
"A","7 wk","DE",5,"inc infection",141564
"A","7 wk","DE",5,"inc dose",0
"A","8 wk","DE",5,"inc infection",230360
"A","8 wk","DE",5,"inc dose",0
"A","9 wk","DE",5,"inc infection",335533
"A","9 wk","DE",5,"inc dose",0
"A","10 wk","DE",5,"inc infection",560434
"A","10 wk","DE",5,"inc dose",0
"A","11 wk","DE",5,"inc infection",697268
"A","11 wk","DE",5,"inc dose",0
"A","12 wk","DE",5,"inc infection",1037896
"A","12 wk","DE",5,"inc dose",0
"A","13 wk","DE",5,"inc infection",2187514
"A","13 wk","DE",5,"inc dose",0
"A","14 wk","DE",5,"inc infection",4092263
"A","14 wk","DE",5,"inc dose",0
"A","15 wk","DE",5,"inc infection",6100730
"A","15 wk","DE",5,"inc dose",0
"A","16 wk","DE",5,"inc infection",7053104
"A","16 wk","DE",5,"inc dose",0
"A","17 wk","DE",5,"inc infection",6494125
"A","17 wk","DE",5,"inc dose",0
"A","18 wk","DE",5,"inc infection",5189842
"A","18 wk","DE",5,"inc dose",0
"A","19 wk","DE",5,"inc infection",3939054
